Data_Hora,Instancia,Parametros_Teste,Algoritmo,Parametros_Algoritmo,Semente,Tempo_Medio_ms,Melhor_NetProfit,Melhor_Alfa,Custo_Equivalente,LB_Cost_Paper,Gap(%)
2026-07-12 22:27:52,K400.9,N/A,Guloso Puro,"N/A",4256596598,0.05676,16884,N/A,408449,383105,6.615
2026-07-12 22:27:52,K400.9,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.100000;iter=30",4256596598,2.40339,29537,0.100000,395796,383105,3.313
2026-07-12 22:27:52,K400.9,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.300000;iter=30",4256596598,2.15315,31025,0.300000,394308,383105,2.924
2026-07-12 22:27:52,K400.9,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.500000;iter=30",4256596598,1.49828,28738,0.500000,396595,383105,3.521
2026-07-12 22:27:52,K400.9,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.800000;iter=30",4256596598,1.85481,30275,0.800000,395058,383105,3.120
2026-07-12 22:27:53,K400.9,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",4256596598,21.8752,31843,0.800000,393490,383105,2.711
2026-07-12 22:27:53,K400.3,N/A,Guloso Puro,"N/A",4256596598,0.07743,14151,N/A,430065,401881,7.013
2026-07-12 22:27:53,K400.3,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.100000;iter=30",4256596598,2.13806,28888,0.100000,415328,401881,3.346
2026-07-12 22:27:53,K400.3,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.300000;iter=30",4256596598,1.73904,28888,0.300000,415328,401881,3.346
2026-07-12 22:27:53,K400.3,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.500000;iter=30",4256596598,1.62641,28888,0.500000,415328,401881,3.346
2026-07-12 22:27:53,K400.3,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.800000;iter=30",4256596598,2.02697,28888,0.800000,415328,401881,3.346
2026-07-12 22:27:53,K400.3,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",4256596598,24.3966,28888,0.500000,415328,401881,3.346
2026-07-12 22:27:53,K100.5,N/A,Guloso Puro,"N/A",4256596598,0.039,15498,N/A,129919,119078,9.104
2026-07-12 22:27:53,K100.5,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.100000;iter=30",4256596598,1.43711,26339,0.100000,119078,119078,0.000
2026-07-12 22:27:53,K100.5,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.300000;iter=30",4256596598,1.03076,26339,0.300000,119078,119078,0.000
2026-07-12 22:27:53,K100.5,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.500000;iter=30",4256596598,1.02096,26339,0.500000,119078,119078,0.000
2026-07-12 22:27:53,K100.5,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.800000;iter=30",4256596598,0.95462,26339,0.800000,119078,119078,0.000
2026-07-12 22:27:53,K100.5,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",4256596598,17.5408,26339,0.100000,119078,119078,0.000
2026-07-12 22:27:53,K100.10,N/A,Guloso Puro,"N/A",4256596598,0.04627,19391,N/A,143336,133567,7.314
2026-07-12 22:27:53,K100.10,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.100000;iter=30",4256596598,0.85681,29160,0.100000,133567,133567,0.000
2026-07-12 22:27:53,K100.10,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.300000;iter=30",4256596598,1.06728,29160,0.300000,133567,133567,0.000
2026-07-12 22:27:53,K100.10,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.500000;iter=30",4256596598,0.98927,29160,0.500000,133567,133567,0.000
2026-07-12 22:27:53,K100.10,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.800000;iter=30",4256596598,1.0005,29160,0.800000,133567,133567,0.000
2026-07-12 22:27:53,K100.10,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",4256596598,13.1201,29160,0.100000,133567,133567,0.000
2026-07-12 22:27:54,K100.2,N/A,Guloso Puro,"N/A",4256596598,0.04769,35660,N/A,207587,200262,3.658
2026-07-12 22:27:54,K100.2,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.100000;iter=30",4256596598,1.44074,41431,0.100000,201816,200262,0.776
2026-07-12 22:27:54,K100.2,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.300000;iter=30",4256596598,1.24807,41431,0.300000,201816,200262,0.776
2026-07-12 22:27:54,K100.2,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.500000;iter=30",4256596598,1.15939,41431,0.500000,201816,200262,0.776
2026-07-12 22:27:54,K100.2,N/A,Guloso Randomizado Alpha Fixo,"alpha=0.800000;iter=30",4256596598,1.21737,41431,0.800000,201816,200262,0.776
2026-07-12 22:27:54,K100.2,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",4256596598,17.3517,41431,0.300000,201816,200262,0.776
2026-07-12 22:27:54,K400.7,N/A,Guloso Puro,"N/A",4256596598,0.10788,19759,N/A,523347,474466,10.302
