Data_Hora,Instancia,Algoritmo,Parametros_Algoritmo,Semente_Mestra,Tempo_Medio_ms,Media_NetProfit,Media_Custo_Equivalente,LB_Cost_Paper,Gap(%),Melhor_NetProfit,Melhor_Custo_Equivalente,Alpha_Melhor_Custo
2026-07-13 15:43:55,K400.9,Guloso Puro,"N/A",2537033304,0.00227,2092.40,423240.60,383105,7.623,13023,412310,N/A
2026-07-13 15:43:55,K400.9,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.11454,5856.32,419476.68,383105,3.263,29728,395605,0.100000
2026-07-13 15:43:55,K400.9,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.09817,5112.91,420220.09,383105,3.313,29537,395796,0.300000
2026-07-13 15:43:55,K400.9,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.10406,4948.91,420384.09,383105,3.120,30275,395058,0.500000
2026-07-13 15:43:55,K400.9,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.10230,5042.45,420290.55,383105,3.009,30702,394631,0.800000
2026-07-13 15:43:55,K400.9,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.64106,5040.62,420292.38,383105,2.711,31843,393490,0.100000
2026-07-13 15:43:55,K400.3,Guloso Puro,"N/A",2537033304,0.00420,4480.80,439735.20,401881,4.246,25273,418943,N/A
2026-07-13 15:43:55,K400.3,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.11393,5825.96,438390.04,401881,3.346,28888,415328,0.100000
2026-07-13 15:43:55,K400.3,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.11547,5762.84,438453.16,401881,3.346,28888,415328,0.300000
2026-07-13 15:43:55,K400.3,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.10482,5011.32,439204.68,401881,3.346,28888,415328,0.500000
2026-07-13 15:43:55,K400.3,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.12759,6301.22,437914.78,401881,3.346,28888,415328,0.800000
2026-07-13 15:43:55,K400.3,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.80676,5583.98,438632.02,401881,3.346,28888,415328,0.100000
2026-07-13 15:43:55,K100.5,Guloso Puro,"N/A",2537033304,0.00251,7804.40,137612.60,119078,2.715,23106,122311,N/A
2026-07-13 15:43:55,K100.5,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.07839,4758.40,140658.60,119078,0.000,26339,119078,0.100000
2026-07-13 15:43:55,K100.5,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.05996,4402.39,141014.61,119078,0.000,26339,119078,0.300000
2026-07-13 15:43:55,K100.5,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.06237,4946.99,140470.01,119078,0.000,26339,119078,0.500000
2026-07-13 15:43:55,K100.5,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.05852,4922.46,140494.54,119078,0.000,26339,119078,0.800000
2026-07-13 15:43:55,K100.5,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.25080,4993.66,140423.34,119078,0.000,26339,119078,0.500000
2026-07-13 15:43:55,K100.10,Guloso Puro,"N/A",2537033304,0.00122,4322.10,158404.90,133567,5.609,21668,141059,N/A
2026-07-13 15:43:55,K100.10,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.06066,4013.18,158713.82,133567,0.000,29160,133567,0.100000
2026-07-13 15:43:55,K100.10,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.05827,4226.50,158500.50,133567,0.000,29160,133567,0.300000
2026-07-13 15:43:55,K100.10,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.06836,4109.04,158617.96,133567,0.000,29160,133567,0.500000
2026-07-13 15:43:55,K100.10,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.05821,4390.45,158336.55,133567,0.000,29160,133567,0.800000
2026-07-13 15:43:55,K100.10,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.20992,4146.81,158580.19,133567,0.000,29160,133567,0.500000
2026-07-13 15:43:55,K100.2,Guloso Puro,"N/A",2537033304,0.00172,11025.10,232221.90,200262,7.981,27003,216244,N/A
2026-07-13 15:43:55,K100.2,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.07102,13151.68,230095.32,200262,0.776,41431,201816,0.100000
2026-07-13 15:43:55,K100.2,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.06970,13295.69,229951.31,200262,0.776,41431,201816,0.300000
2026-07-13 15:43:55,K100.2,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.08672,13601.39,229645.61,200262,0.776,41431,201816,0.500000
2026-07-13 15:43:55,K100.2,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.07412,12864.62,230382.38,200262,0.776,41431,201816,0.800000
2026-07-13 15:43:55,K100.2,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.38531,12745.68,230501.32,200262,0.776,41431,201816,0.300000
2026-07-13 15:43:55,K400.7,Guloso Puro,"N/A",2537033304,0.00356,8521.20,534584.80,474466,10.866,17084,526022,N/A
2026-07-13 15:43:55,K400.7,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.12457,7464.61,535641.39,474466,8.660,27553,515553,0.100000
2026-07-13 15:43:55,K400.7,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.13209,8403.50,534702.50,474466,7.757,31835,511271,0.300000
2026-07-13 15:43:55,K400.7,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.13968,6864.65,536241.35,474466,8.446,28566,514540,0.500000
